"","Smp","Model","Group","variable","value","Classification","Group2","Group3"
"1","BC GSE144494 SC n=107->n=85","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.141176470588235,"Top1","Single CTC (public)","Single CTC"
"2","BC GSE75367 SC n=61->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.326086956521739,"Top1","Single CTC (public)","Single CTC"
"3","Melanoma GSE157740 SC n=13->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",1,"Top1","Single CTC (public)","Single CTC"
"4","BC GSE55807 SC n=6->n=6","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0,"Top1","Single CTC (public)","Single CTC"
"5","BC GSE144494 CL n=28->n=25","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top1",0.2,"Top1","CTC cluster (public)","CTC cluster"
"6","BC GSE144495 SC n=109->n=86","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.255813953488372,"Top1","Single CTC (public)","Single CTC"
"7","Melanoma GSE157743 SC1 n=76->n=59","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.220338983050847,"Top1","Single CTC (public)","Single CTC"
"8","PC GSE67980 SC n=77->n=77","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.467532467532468,"Top1","Single CTC (public)","Single CTC"
"9","BC GSE86978 SC n=55->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.108695652173913,"Top1","Single CTC (public)","Single CTC"
"10","BC GSE51827 SC n=15->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.153846153846154,"Top1","Single CTC (public)","Single CTC"
"11","HCC CNP0000095 SC n=113->n=79","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.873417721518987,"Top1","Single CTC (public)","Single CTC"
"12","Melanoma GSE157743 SC2 n=20->n=20","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",1,"Top1","Single CTC (public)","Single CTC"
"13","BC GSE86978 CL n=22->n=19","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top1",0.210526315789474,"Top1","CTC cluster (public)","CTC cluster"
"14","BC GSE51827 CL n=14->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top1",0.230769230769231,"Top1","CTC cluster (public)","CTC cluster"
"15","NSCLC GSE74639 SC n=10->n=10","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.1,"Top1","Single CTC (public)","Single CTC"
"16","BC GSE144494 SC n=107->n=85","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.270588235294118,"Top2","Single CTC (public)","Single CTC"
"17","BC GSE75367 SC n=61->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.543478260869565,"Top2","Single CTC (public)","Single CTC"
"18","Melanoma GSE157740 SC n=13->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",1,"Top2","Single CTC (public)","Single CTC"
"19","BC GSE55807 SC n=6->n=6","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.666666666666667,"Top2","Single CTC (public)","Single CTC"
"20","BC GSE144494 CL n=28->n=25","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top2",0.4,"Top2","CTC cluster (public)","CTC cluster"
"21","BC GSE144495 SC n=109->n=86","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.441860465116279,"Top2","Single CTC (public)","Single CTC"
"22","Melanoma GSE157743 SC1 n=76->n=59","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.305084745762712,"Top2","Single CTC (public)","Single CTC"
"23","PC GSE67980 SC n=77->n=77","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.597402597402597,"Top2","Single CTC (public)","Single CTC"
"24","BC GSE86978 SC n=55->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.260869565217391,"Top2","Single CTC (public)","Single CTC"
"25","BC GSE51827 SC n=15->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.230769230769231,"Top2","Single CTC (public)","Single CTC"
"26","HCC CNP0000095 SC n=113->n=79","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.949367088607595,"Top2","Single CTC (public)","Single CTC"
"27","Melanoma GSE157743 SC2 n=20->n=20","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",1,"Top2","Single CTC (public)","Single CTC"
"28","BC GSE86978 CL n=22->n=19","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top2",0.473684210526316,"Top2","CTC cluster (public)","CTC cluster"
"29","BC GSE51827 CL n=14->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top2",0.384615384615385,"Top2","CTC cluster (public)","CTC cluster"
"30","NSCLC GSE74639 SC n=10->n=10","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.1,"Top2","Single CTC (public)","Single CTC"
"31","BC GSE144494 SC n=107->n=85","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.541176470588235,"Top3","Single CTC (public)","Single CTC"
"32","BC GSE75367 SC n=61->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.652173913043478,"Top3","Single CTC (public)","Single CTC"
"33","Melanoma GSE157740 SC n=13->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",1,"Top3","Single CTC (public)","Single CTC"
"34","BC GSE55807 SC n=6->n=6","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.833333333333333,"Top3","Single CTC (public)","Single CTC"
"35","BC GSE144494 CL n=28->n=25","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top3",0.76,"Top3","CTC cluster (public)","CTC cluster"
"36","BC GSE144495 SC n=109->n=86","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.558139534883721,"Top3","Single CTC (public)","Single CTC"
"37","Melanoma GSE157743 SC1 n=76->n=59","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.406779661016949,"Top3","Single CTC (public)","Single CTC"
"38","PC GSE67980 SC n=77->n=77","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.714285714285714,"Top3","Single CTC (public)","Single CTC"
"39","BC GSE86978 SC n=55->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.608695652173913,"Top3","Single CTC (public)","Single CTC"
"40","BC GSE51827 SC n=15->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.615384615384615,"Top3","Single CTC (public)","Single CTC"
"41","HCC CNP0000095 SC n=113->n=79","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.974683544303797,"Top3","Single CTC (public)","Single CTC"
"42","Melanoma GSE157743 SC2 n=20->n=20","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",1,"Top3","Single CTC (public)","Single CTC"
"43","BC GSE86978 CL n=22->n=19","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top3",0.789473684210526,"Top3","CTC cluster (public)","CTC cluster"
"44","BC GSE51827 CL n=14->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top3",0.769230769230769,"Top3","CTC cluster (public)","CTC cluster"
"45","NSCLC GSE74639 SC n=10->n=10","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.2,"Top3","Single CTC (public)","Single CTC"
"46","Smart-seq CRC primary","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top1",0,"Top1","Single CTC (new-seq)","Single CTC"
"47","Smart-seq CRC CTC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top1",0,"Top1","Single CTC (new-seq)","Single CTC"
"48","Smart-seq BC CTC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top1",0.142857142857143,"Top1","Single CTC (new-seq)","Single CTC"
"49","Smart-seq BC primary","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top1",0,"Top1","Single CTC (new-seq)","Single CTC"
"50","Smart-seq CRC primary","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top2",0,"Top2","Single CTC (new-seq)","Single CTC"
"51","Smart-seq CRC CTC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top2",0,"Top2","Single CTC (new-seq)","Single CTC"
"52","Smart-seq BC CTC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top2",0.142857142857143,"Top2","Single CTC (new-seq)","Single CTC"
"53","Smart-seq BC primary","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top2",0,"Top2","Single CTC (new-seq)","Single CTC"
"54","Smart-seq CRC primary","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top3",0,"Top3","Single CTC (new-seq)","Single CTC"
"55","Smart-seq CRC CTC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top3",0.0625,"Top3","Single CTC (new-seq)","Single CTC"
"56","Smart-seq BC CTC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top3",0.142857142857143,"Top3","Single CTC (new-seq)","Single CTC"
"57","Smart-seq BC primary","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (new-seq)","Top3",0.2,"Top3","Single CTC (new-seq)","Single CTC"
"58","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.8,NA,"Primary cancer cells","Primary cancer cells"
"59","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"60","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.99,NA,"Primary cancer cells","Primary cancer cells"
"61","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"62","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"63","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.99,NA,"Primary cancer cells","Primary cancer cells"
"64","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.95,NA,"Primary cancer cells","Primary cancer cells"
"65","GSE150430 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"66","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.974,NA,"Primary cancer cells","Primary cancer cells"
"67","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"68","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"69","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"70","GSE132465 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"71","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"72","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"73","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.9,NA,"Primary cancer cells","Primary cancer cells"
"74","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.98,NA,"Primary cancer cells","Primary cancer cells"
"75","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"76","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.998,NA,"Primary cancer cells","Primary cancer cells"
"77","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.998,NA,"Primary cancer cells","Primary cancer cells"
"78","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.99,NA,"Primary cancer cells","Primary cancer cells"
"79","GSE150825 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.8,NA,"Primary cancer cells","Primary cancer cells"
"80","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"81","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"82","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.98,NA,"Primary cancer cells","Primary cancer cells"
"83","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.98,NA,"Primary cancer cells","Primary cancer cells"
"84","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"85","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"86","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.994,NA,"Primary cancer cells","Primary cancer cells"
"87","GSE173682 OVC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"88","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"89","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"90","GSE150825 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.7,NA,"Primary cancer cells","Primary cancer cells"
"91","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.98,NA,"Primary cancer cells","Primary cancer cells"
"92","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"93","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"94","GSE162025 NPC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"95","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.98,NA,"Primary cancer cells","Primary cancer cells"
"96","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"97","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"98","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"99","GSE178318 CRC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"100","GSE176078 BC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.99,NA,"Primary cancer cells","Primary cancer cells"
"101","GSM3946506 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"102","GSE155698 PDAC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.97,NA,"Primary cancer cells","Primary cancer cells"
"103","GSE215120 Melanoma","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"104","GSE149614 HCC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"105","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.905,NA,"Primary cancer cells","Primary cancer cells"
"106","GSE127465 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.9,NA,"Primary cancer cells","Primary cancer cells"
"107","GSE176031 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"108","GSE148071 NSCLC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"109","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.9,NA,"Primary cancer cells","Primary cancer cells"
"110","OMIX001073 GC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"111","GSE173682 EC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"112","GSE193337 PC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",0.985,NA,"Primary cancer cells","Primary cancer cells"
"113","GSE168652 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
"114","E-MTAB-11948 CC","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Set1","Top1",1,NA,"Primary cancer cells","Primary cancer cells"
