"","Sample","Method_other","value_other","value_panctc","Metr"
"56","WBC_GSE94820+MELA_GSE157740_SC","scATOMIC",1,1,"Sensitivity"
"57","WBC_GSE94820+MELA_GSE157743_SC1","scATOMIC",0.105263157894737,0.776315789473684,"Sensitivity"
"58","WBC_GSE94820+MELA_GSE157743_SC2","scATOMIC",1,1,"Sensitivity"
"59","WBC_GSE94820+NSCLC_GSE74639_SC","scATOMIC",0,1,"Sensitivity"
"60","WBC_GSE94820+PC_GSE67980_SC","scATOMIC",0.987012987012987,1,"Sensitivity"
"61","WBC_GSE94820+BC_GSE144494_CL","scfoundation",1,0.892857142857143,"Sensitivity"
"62","WBC_GSE94820+BC_GSE144494_SC","scfoundation",0.803738318,0.794392523364486,"Sensitivity"
"63","WBC_GSE94820+BC_GSE144495_SC","scfoundation",0.541284404,0.788990825688073,"Sensitivity"
"64","WBC_GSE94820+BC_GSE51827_CL","scfoundation",1,0.928571428571429,"Sensitivity"
"65","WBC_GSE94820+BC_GSE51827_SC","scfoundation",1,0.866666666666667,"Sensitivity"
"66","WBC_GSE94820+BC_GSE55807_SC","scfoundation",0.833333333,1,"Sensitivity"
"67","WBC_GSE94820+BC_GSE75367_SC","scfoundation",0.573770492,0.754098360655738,"Sensitivity"
"68","WBC_GSE94820+BC_GSE86978_CL","scfoundation",1,0.863636363636364,"Sensitivity"
"69","WBC_GSE94820+BC_GSE86978_SC","scfoundation",0.781818182,0.836363636363636,"Sensitivity"
"70","WBC_GSE94820+HCC_CNP0000095_SC","scfoundation",0.044247788,0.699115044247788,"Sensitivity"
"71","WBC_GSE94820+MELA_GSE157740_SC","scfoundation",0,1,"Sensitivity"
"72","WBC_GSE94820+MELA_GSE157743_SC1","scfoundation",0.118421053,0.776315789473684,"Sensitivity"
"73","WBC_GSE94820+MELA_GSE157743_SC2","scfoundation",0.25,1,"Sensitivity"
"74","WBC_GSE94820+NSCLC_GSE74639_SC","scfoundation",0.7,1,"Sensitivity"
"75","WBC_GSE94820+PC_GSE67980_SC","scfoundation",0.87012987,1,"Sensitivity"
"76","WBC_GSE94820+BC_GSE144494_CL","scGPT",0.928571429,0.892857142857143,"Sensitivity"
"77","WBC_GSE94820+BC_GSE144494_SC","scGPT",0.663551402,0.794392523364486,"Sensitivity"
"78","WBC_GSE94820+BC_GSE144495_SC","scGPT",0.678899083,0.788990825688073,"Sensitivity"
