"","Smp","Method_other","Acc_other","Acc_panctc"
"1033","OMIX001073_GC_Epi_n3","scATOMIC",0,1
"1034","OMIX001073_GC_Epi_n3","scATOMIC",0,1
"1035","OMIX001073_GC_Epi_n10","scATOMIC",0,1
"1036","OMIX001073_GC_Epi_n10","scATOMIC",0,1
"1037","OMIX001073_GC_Epi_n25","scATOMIC",0,1
"1038","OMIX001073_GC_Epi_n25","scATOMIC",0,1
"1039","OMIX001073_GC_Epi_n100","scATOMIC",0,0.99
"1040","OMIX001073_GC_Epi_n100","scATOMIC",0,0.99
"1041","GSE148071_LUNG_Epi_n3","scATOMIC",0,1
"1042","GSE148071_LUNG_Epi_n3","scATOMIC",0,1
"1043","GSE148071_LUNG_Epi_n10","scATOMIC",0,1
"1044","GSE148071_LUNG_Epi_n10","scATOMIC",0,1
"1045","GSE148071_LUNG_Epi_n25","scATOMIC",0,1
"1046","GSE148071_LUNG_Epi_n25","scATOMIC",0,1
"1047","GSE148071_LUNG_Epi_n100","scATOMIC",0,0.99
"1048","GSE148071_LUNG_Epi_n100","scATOMIC",0,1
"1049","GSE150430_NPC_Epi_n3","scATOMIC",0,1
"1050","GSE150430_NPC_Epi_n3","scATOMIC",0,1
"1051","GSE150430_NPC_Epi_n10","scATOMIC",0,1
"1052","GSE150430_NPC_Epi_n10","scATOMIC",0,1
"1053","GSE150430_NPC_Epi_n25","scATOMIC",0,1
"1054","GSE150430_NPC_Epi_n25","scATOMIC",0,1
"1055","GSE150430_NPC_Epi_n100","scATOMIC",0,1
"1056","GSE150430_NPC_Epi_n100","scATOMIC",0,1
"1057","GSE150825_NPC_Epi_n3","scATOMIC",0,1
"1058","GSE150825_NPC_Epi_n3","scATOMIC",0,1
"1059","GSE150825_NPC_Epi_n10","scATOMIC",0,0.9
"1060","GSE150825_NPC_Epi_n10","scATOMIC",0,0.9
"1061","GSE150825_NPC_Epi_n25","scATOMIC",0,0.84
"1062","GSE150825_NPC_Epi_n25","scATOMIC",0,0.96
"1063","GSE150825_NPC_Epi_n100","scATOMIC",0,0.91
"1064","GSE150825_NPC_Epi_n100","scATOMIC",0,0.93
"1065","GSE176031_Prostate_Epi_n3","scATOMIC",0,0.666666667
"1066","GSE176031_Prostate_Epi_n3","scATOMIC",0,1
"1067","GSE176031_Prostate_Epi_n10","scATOMIC",0.7,1
"1068","GSE176031_Prostate_Epi_n10","scATOMIC",0.7,1
"1069","GSE176031_Prostate_Epi_n25","scATOMIC",0.96,1
"1070","GSE176031_Prostate_Epi_n25","scATOMIC",0.96,1
"1071","GSE176031_Prostate_Epi_n100","scATOMIC",0.99,0.99
"1072","GSE176031_Prostate_Epi_n100","scATOMIC",0.99,1
"1073","GSE149614_HCC_Epi_n3","scATOMIC",0,1
"1074","GSE149614_HCC_Epi_n3","scATOMIC",0,1
"1075","GSE149614_HCC_Epi_n10","scATOMIC",0.9,1
"1076","GSE149614_HCC_Epi_n10","scATOMIC",0.9,1
"1077","GSE149614_HCC_Epi_n25","scATOMIC",0.96,1
"1078","GSE149614_HCC_Epi_n25","scATOMIC",0.96,1
"1079","GSE149614_HCC_Epi_n100","scATOMIC",0.61,1
"1080","GSE149614_HCC_Epi_n100","scATOMIC",0.61,1
"1081","GSM3946506_Mela_cl_n3","scATOMIC",1,1
"1082","GSM3946506_Mela_cl_n3","scATOMIC",1,1
"1083","GSM3946506_Mela_cl_n10","scATOMIC",1,1
"1084","GSM3946506_Mela_cl_n10","scATOMIC",1,1
"1085","GSM3946506_Mela_cl_n25","scATOMIC",1,1
"1086","GSM3946506_Mela_cl_n25","scATOMIC",1,1
"1087","GSM3946506_Mela_cl_n100","scATOMIC",1,1
"1088","GSM3946506_Mela_cl_n100","scATOMIC",1,1
"1089","GSE215120_Melanoma_n3","scATOMIC",0,1
"1090","GSE215120_Melanoma_n3","scATOMIC",0,1
"1091","GSE215120_Melanoma_n10","scATOMIC",1,1
"1092","GSE215120_Melanoma_n10","scATOMIC",1,1
"1093","GSE215120_Melanoma_n25","scATOMIC",0.96,1
"1094","GSE215120_Melanoma_n25","scATOMIC",0.96,1
"1095","GSE215120_Melanoma_n100","scATOMIC",0.98,1
"1096","GSE215120_Melanoma_n100","scATOMIC",0.98,1
"1097","Cervix_PreT1_n3","scATOMIC",0,1
"1098","Cervix_PreT1_n3","scATOMIC",0,1
"1099","Cervix_PreT1_n10","scATOMIC",0,1
"1100","Cervix_PreT1_n10","scATOMIC",0,1
"1101","Cervix_PreT1_n25","scATOMIC",0,1
"1102","Cervix_PreT1_n25","scATOMIC",0,0.92
"1103","Cervix_PreT1_n100","scATOMIC",0,1
"1104","Cervix_PreT1_n100","scATOMIC",0,1
"1105","Cervix_PreT2_n3","scATOMIC",0,1
"1106","Cervix_PreT2_n3","scATOMIC",0,1
"1107","Cervix_PreT2_n10","scATOMIC",0,1
"1108","Cervix_PreT2_n10","scATOMIC",0,1
"1109","Cervix_PreT2_n25","scATOMIC",0,0.96
"1110","Cervix_PreT2_n25","scATOMIC",0,0.92
"1111","Cervix_PreT2_n100","scATOMIC",0,0.99
"1112","Cervix_PreT2_n100","scATOMIC",0,0.98
"1113","Cervix_PreT3_n3","scATOMIC",0,1
"1114","Cervix_PreT3_n3","scATOMIC",0,1
"1115","Cervix_PreT3_n10","scATOMIC",0,1
"1116","Cervix_PreT3_n10","scATOMIC",0,1
"1117","Cervix_PreT3_n25","scATOMIC",0,1
"1118","Cervix_PreT3_n25","scATOMIC",0,1
"1119","Cervix_PreT3_n100","scATOMIC",0,1
"1120","Cervix_PreT3_n100","scATOMIC",0,0.99
"1121","Cervix_T2Dur3_n3","scATOMIC",0,1
"1122","Cervix_T2Dur3_n3","scATOMIC",0,0.666666667
"1123","Cervix_T2Dur3_n10","scATOMIC",0,1
"1124","Cervix_T2Dur3_n10","scATOMIC",0,0.8
"1125","Cervix_T2Dur3_n25","scATOMIC",0,1
"1126","Cervix_T2Dur3_n25","scATOMIC",0,0.92
"1127","Cervix_T2Dur3_n100","scATOMIC",0,0.94
"1128","Cervix_T2Dur3_n100","scATOMIC",0,0.93
"1129","Cervix_T3Dur3_n3","scATOMIC",0,1
"1130","Cervix_T3Dur3_n3","scATOMIC",0,1
"1131","Cervix_T3Dur3_n10","scATOMIC",0,1
"1132","Cervix_T3Dur3_n10","scATOMIC",0,0.9
"1133","Cervix_T3Dur3_n25","scATOMIC",0,0.96
"1134","Cervix_T3Dur3_n25","scATOMIC",0,0.96
"1135","Cervix_T3Dur3_n100","scATOMIC",0,0.98
"1136","Cervix_T3Dur3_n100","scATOMIC",0,0.96
"1137","Cervix_Tumorhn115_n3","scATOMIC",0,1
"1138","Cervix_Tumorhn115_n3","scATOMIC",0,0.666666667
"1139","Cervix_Tumorhn115_n10","scATOMIC",0,1
"1140","Cervix_Tumorhn115_n10","scATOMIC",0,1
"1141","Cervix_Tumorhn115_n25","scATOMIC",0,1
"1142","Cervix_Tumorhn115_n25","scATOMIC",0,1
"1143","Cervix_Tumorhn115_n100","scATOMIC",0,0.99
"1144","Cervix_Tumorhn115_n100","scATOMIC",0,1
"1145","E-MTAB-11948_Cervix_Epi_n3","scfoundation",0.666666667,1
"1146","E-MTAB-11948_Cervix_Epi_n3","scfoundation",0.666666667,1
"1147","E-MTAB-11948_Cervix_Epi_n10","scfoundation",0.3,1
"1148","E-MTAB-11948_Cervix_Epi_n10","scfoundation",0.3,1
"1149","E-MTAB-11948_Cervix_Epi_n25","scfoundation",0.52,1
"1150","E-MTAB-11948_Cervix_Epi_n25","scfoundation",0.52,1
"1151","E-MTAB-11948_Cervix_Epi_n100","scfoundation",0.47,1
"1152","E-MTAB-11948_Cervix_Epi_n100","scfoundation",0.47,1
"1153","GSE132465_CRC_Epi_n3","scfoundation",0.333333333,1
"1154","GSE132465_CRC_Epi_n3","scfoundation",0.333333333,1
"1155","GSE132465_CRC_Epi_n10","scfoundation",0.7,1
"1156","GSE132465_CRC_Epi_n10","scfoundation",0.7,1
"1157","GSE132465_CRC_Epi_n25","scfoundation",0.84,1
"1158","GSE132465_CRC_Epi_n25","scfoundation",0.84,1
"1159","GSE132465_CRC_Epi_n100","scfoundation",0.74,0.98
"1160","GSE132465_CRC_Epi_n100","scfoundation",0.74,0.98
"1161","GSE155698_PDAC_Epi_n3","scfoundation",0,1
"1162","GSE155698_PDAC_Epi_n3","scfoundation",0,1
"1163","GSE155698_PDAC_Epi_n10","scfoundation",0,0.9
"1164","GSE155698_PDAC_Epi_n10","scfoundation",0,1
"1165","GSE155698_PDAC_Epi_n25","scfoundation",0.04,1
"1166","GSE155698_PDAC_Epi_n25","scfoundation",0.04,0.96
"1167","GSE155698_PDAC_Epi_n100","scfoundation",0.04,0.99
"1168","GSE155698_PDAC_Epi_n100","scfoundation",0.04,0.97
"1169","GSE162025_NPC_Epi_n3","scfoundation",1,1
"1170","GSE162025_NPC_Epi_n3","scfoundation",1,1
"1171","GSE162025_NPC_Epi_n10","scfoundation",0.9,1
"1172","GSE162025_NPC_Epi_n10","scfoundation",0.9,1
"1173","GSE162025_NPC_Epi_n25","scfoundation",0.88,1
"1174","GSE162025_NPC_Epi_n25","scfoundation",0.88,1
"1175","GSE162025_NPC_Epi_n100","scfoundation",0.89,0.99
"1176","GSE162025_NPC_Epi_n100","scfoundation",0.89,0.99
"1177","GSE168652_Cervix_Epi_n3","scfoundation",1,1
"1178","GSE168652_Cervix_Epi_n3","scfoundation",1,1
"1179","GSE168652_Cervix_Epi_n10","scfoundation",1,0.9
"1180","GSE168652_Cervix_Epi_n10","scfoundation",1,1
"1181","GSE168652_Cervix_Epi_n25","scfoundation",1,1
"1182","GSE168652_Cervix_Epi_n25","scfoundation",1,1
"1183","GSE168652_Cervix_Epi_n100","scfoundation",0.99,1
"1184","GSE168652_Cervix_Epi_n100","scfoundation",0.99,1
"1185","GSE173682_Endome_Epi_n3","scfoundation",0.333333333,1
"1186","GSE173682_Endome_Epi_n3","scfoundation",0.333333333,1
"1187","GSE173682_Endome_Epi_n10","scfoundation",0.5,1
"1188","GSE173682_Endome_Epi_n10","scfoundation",0.5,1
"1189","GSE173682_Endome_Epi_n25","scfoundation",0.24,1
"1190","GSE173682_Endome_Epi_n25","scfoundation",0.24,1
"1191","GSE173682_Endome_Epi_n100","scfoundation",0.22,1
"1192","GSE173682_Endome_Epi_n100","scfoundation",0.22,1
"1193","GSE173682_Ovarian_Epi_n3","scfoundation",0.333333333,1
"1194","GSE173682_Ovarian_Epi_n3","scfoundation",0.333333333,1
"1195","GSE173682_Ovarian_Epi_n10","scfoundation",0.1,1
"1196","GSE173682_Ovarian_Epi_n10","scfoundation",0.1,1
"1197","GSE173682_Ovarian_Epi_n25","scfoundation",0.28,1
"1198","GSE173682_Ovarian_Epi_n25","scfoundation",0.28,1
"1199","GSE173682_Ovarian_Epi_n100","scfoundation",0.4,0.99
"1200","GSE173682_Ovarian_Epi_n100","scfoundation",0.4,0.99
"1201","GSE176078_BC_Epi_n3","scfoundation",1,1
"1202","GSE176078_BC_Epi_n3","scfoundation",1,1
"1203","GSE176078_BC_Epi_n10","scfoundation",0.9,1
"1204","GSE176078_BC_Epi_n10","scfoundation",0.9,1
"1205","GSE176078_BC_Epi_n25","scfoundation",1,1
"1206","GSE176078_BC_Epi_n25","scfoundation",1,0.92
"1207","GSE176078_BC_Epi_n100","scfoundation",0.97,0.98
"1208","GSE176078_BC_Epi_n100","scfoundation",0.97,0.98
"1209","GSE178318_CRC_Epi_n3","scfoundation",0.333333333,1
"1210","GSE178318_CRC_Epi_n3","scfoundation",0.333333333,1
"1211","GSE178318_CRC_Epi_n10","scfoundation",0.3,0.8
"1212","GSE178318_CRC_Epi_n10","scfoundation",0.3,1
"1213","GSE178318_CRC_Epi_n25","scfoundation",0.24,1
"1214","GSE178318_CRC_Epi_n25","scfoundation",0.24,0.96
"1215","GSE178318_CRC_Epi_n100","scfoundation",0.3,0.96
"1216","GSE178318_CRC_Epi_n100","scfoundation",0.3,0.99
"1217","GSE193337_Prostate_Epi_n3","scfoundation",1,1
"1218","GSE193337_Prostate_Epi_n3","scfoundation",1,1
"1219","GSE193337_Prostate_Epi_n10","scfoundation",1,1
"1220","GSE193337_Prostate_Epi_n10","scfoundation",1,0.9
"1221","GSE193337_Prostate_Epi_n25","scfoundation",1,0.96
"1222","GSE193337_Prostate_Epi_n25","scfoundation",1,1
"1223","GSE193337_Prostate_Epi_n100","scfoundation",1,1
"1224","GSE193337_Prostate_Epi_n100","scfoundation",1,0.99
"1225","OMIX001073_GC_Epi_n3","scfoundation",0,1
"1226","OMIX001073_GC_Epi_n3","scfoundation",0,1
"1227","OMIX001073_GC_Epi_n10","scfoundation",0.3,1
"1228","OMIX001073_GC_Epi_n10","scfoundation",0.3,1
"1229","OMIX001073_GC_Epi_n25","scfoundation",0.12,1
"1230","OMIX001073_GC_Epi_n25","scfoundation",0.12,1
"1231","OMIX001073_GC_Epi_n100","scfoundation",0.08,0.99
"1232","OMIX001073_GC_Epi_n100","scfoundation",0.08,0.99
"1233","GSE148071_LUNG_Epi_n3","scfoundation",0,1
"1234","GSE148071_LUNG_Epi_n3","scfoundation",0,1
"1235","GSE148071_LUNG_Epi_n10","scfoundation",0,1
"1236","GSE148071_LUNG_Epi_n10","scfoundation",0,1
"1237","GSE148071_LUNG_Epi_n25","scfoundation",0,1
"1238","GSE148071_LUNG_Epi_n25","scfoundation",0,1
"1239","GSE148071_LUNG_Epi_n100","scfoundation",0.01,0.99
"1240","GSE148071_LUNG_Epi_n100","scfoundation",0.01,1
"1241","GSE150430_NPC_Epi_n3","scfoundation",0,1
"1242","GSE150430_NPC_Epi_n3","scfoundation",0,1
"1243","GSE150430_NPC_Epi_n10","scfoundation",0,1
"1244","GSE150430_NPC_Epi_n10","scfoundation",0,1
"1245","GSE150430_NPC_Epi_n25","scfoundation",0,1
"1246","GSE150430_NPC_Epi_n25","scfoundation",0,1
"1247","GSE150430_NPC_Epi_n100","scfoundation",0,1
"1248","GSE150430_NPC_Epi_n100","scfoundation",0,1
"1249","GSE150825_NPC_Epi_n3","scfoundation",0,1
"1250","GSE150825_NPC_Epi_n3","scfoundation",0,1
"1251","GSE150825_NPC_Epi_n10","scfoundation",0.6,0.9
"1252","GSE150825_NPC_Epi_n10","scfoundation",0.6,0.9
"1253","GSE150825_NPC_Epi_n25","scfoundation",0.4,0.84
"1254","GSE150825_NPC_Epi_n25","scfoundation",0.4,0.96
"1255","GSE150825_NPC_Epi_n100","scfoundation",0.38,0.91
"1256","GSE150825_NPC_Epi_n100","scfoundation",0.38,0.93
"1257","GSE176031_Prostate_Epi_n3","scfoundation",1,0.666666667
"1258","GSE176031_Prostate_Epi_n3","scfoundation",1,1
"1259","GSE176031_Prostate_Epi_n10","scfoundation",1,1
"1260","GSE176031_Prostate_Epi_n10","scfoundation",1,1
"1261","GSE176031_Prostate_Epi_n25","scfoundation",1,1
"1262","GSE176031_Prostate_Epi_n25","scfoundation",1,1
"1263","GSE176031_Prostate_Epi_n100","scfoundation",1,0.99
"1264","GSE176031_Prostate_Epi_n100","scfoundation",1,1
"1265","GSE149614_HCC_Epi_n3","scfoundation",1,1
"1266","GSE149614_HCC_Epi_n3","scfoundation",1,1
"1267","GSE149614_HCC_Epi_n10","scfoundation",0.7,1
"1268","GSE149614_HCC_Epi_n10","scfoundation",0.7,1
"1269","GSE149614_HCC_Epi_n25","scfoundation",0.88,1
"1270","GSE149614_HCC_Epi_n25","scfoundation",0.88,1
"1271","GSE149614_HCC_Epi_n100","scfoundation",0.79,1
"1272","GSE149614_HCC_Epi_n100","scfoundation",0.79,1
"1273","GSM3946506_Mela_cl_n3","scfoundation",0.666666667,1
"1274","GSM3946506_Mela_cl_n3","scfoundation",0.666666667,1
"1275","GSM3946506_Mela_cl_n10","scfoundation",0.5,1
"1276","GSM3946506_Mela_cl_n10","scfoundation",0.5,1
"1277","GSM3946506_Mela_cl_n25","scfoundation",0.44,1
"1278","GSM3946506_Mela_cl_n25","scfoundation",0.44,1
"1279","GSM3946506_Mela_cl_n100","scfoundation",0.57,1
"1280","GSM3946506_Mela_cl_n100","scfoundation",0.57,1
"1281","GSE215120_Melanoma_n3","scfoundation",1,1
"1282","GSE215120_Melanoma_n3","scfoundation",1,1
"1283","GSE215120_Melanoma_n10","scfoundation",0.8,1
"1284","GSE215120_Melanoma_n10","scfoundation",0.8,1
"1285","GSE215120_Melanoma_n25","scfoundation",0.92,1
"1286","GSE215120_Melanoma_n25","scfoundation",0.92,1
"1287","GSE215120_Melanoma_n100","scfoundation",0.87,1
"1288","GSE215120_Melanoma_n100","scfoundation",0.87,1
"1289","Cervix_PreT1_n3","scfoundation",0.333333333,1
"1290","Cervix_PreT1_n3","scfoundation",0.333333333,1
"1291","Cervix_PreT1_n10","scfoundation",0.4,1
"1292","Cervix_PreT1_n10","scfoundation",0.4,1
"1293","Cervix_PreT1_n25","scfoundation",0.28,1
"1294","Cervix_PreT1_n25","scfoundation",0.28,0.92
"1295","Cervix_PreT1_n100","scfoundation",0.27,1
"1296","Cervix_PreT1_n100","scfoundation",0.27,1
"1297","Cervix_PreT2_n3","scfoundation",0.666666667,1
"1298","Cervix_PreT2_n3","scfoundation",0.666666667,1
"1299","Cervix_PreT2_n10","scfoundation",0.7,1
"1300","Cervix_PreT2_n10","scfoundation",0.7,1
"1301","Cervix_PreT2_n25","scfoundation",0.8,0.96
"1302","Cervix_PreT2_n25","scfoundation",0.8,0.92
"1303","Cervix_PreT2_n100","scfoundation",0.83,0.99
"1304","Cervix_PreT2_n100","scfoundation",0.83,0.98
"1305","Cervix_PreT3_n3","scfoundation",1,1
"1306","Cervix_PreT3_n3","scfoundation",1,1
"1307","Cervix_PreT3_n10","scfoundation",0.9,1
"1308","Cervix_PreT3_n10","scfoundation",0.9,1
"1309","Cervix_PreT3_n25","scfoundation",0.88,1
"1310","Cervix_PreT3_n25","scfoundation",0.88,1
"1311","Cervix_PreT3_n100","scfoundation",0.87,1
"1312","Cervix_PreT3_n100","scfoundation",0.87,0.99
"1313","Cervix_T2Dur3_n3","scfoundation",1,1
"1314","Cervix_T2Dur3_n3","scfoundation",1,0.666666667
"1315","Cervix_T2Dur3_n10","scfoundation",0.8,1
"1316","Cervix_T2Dur3_n10","scfoundation",0.8,0.8
"1317","Cervix_T2Dur3_n25","scfoundation",0.88,1
"1318","Cervix_T2Dur3_n25","scfoundation",0.88,0.92
"1319","Cervix_T2Dur3_n100","scfoundation",0.91,0.94
"1320","Cervix_T2Dur3_n100","scfoundation",0.91,0.93
"1321","Cervix_T3Dur3_n3","scfoundation",0.666666667,1
"1322","Cervix_T3Dur3_n3","scfoundation",0.666666667,1
"1323","Cervix_T3Dur3_n10","scfoundation",0.1,1
"1324","Cervix_T3Dur3_n10","scfoundation",0.1,0.9
"1325","Cervix_T3Dur3_n25","scfoundation",0.28,0.96
"1326","Cervix_T3Dur3_n25","scfoundation",0.28,0.96
"1327","Cervix_T3Dur3_n100","scfoundation",0.2,0.98
"1328","Cervix_T3Dur3_n100","scfoundation",0.2,0.96
"1329","Cervix_Tumorhn115_n3","scfoundation",1,1
"1330","Cervix_Tumorhn115_n3","scfoundation",1,0.666666667
"1331","Cervix_Tumorhn115_n10","scfoundation",0.4,1
"1332","Cervix_Tumorhn115_n10","scfoundation",0.4,1
"1333","Cervix_Tumorhn115_n25","scfoundation",0.4,1
"1334","Cervix_Tumorhn115_n25","scfoundation",0.4,1
"1335","Cervix_Tumorhn115_n100","scfoundation",0.52,0.99
"1336","Cervix_Tumorhn115_n100","scfoundation",0.52,1
"1337","E-MTAB-11948_Cervix_Epi_n3","scGPT",1,1
"1338","E-MTAB-11948_Cervix_Epi_n3","scGPT",1,1
"1339","E-MTAB-11948_Cervix_Epi_n10","scGPT",0.9,1
"1340","E-MTAB-11948_Cervix_Epi_n10","scGPT",0.9,1
"1341","E-MTAB-11948_Cervix_Epi_n25","scGPT",0.88,1
"1342","E-MTAB-11948_Cervix_Epi_n25","scGPT",0.88,1
"1343","E-MTAB-11948_Cervix_Epi_n100","scGPT",0.8,1
"1344","E-MTAB-11948_Cervix_Epi_n100","scGPT",0.8,1
"1345","GSE132465_CRC_Epi_n3","scGPT",0.666666667,1
"1346","GSE132465_CRC_Epi_n3","scGPT",0.666666667,1
"1347","GSE132465_CRC_Epi_n10","scGPT",0.6,1
"1348","GSE132465_CRC_Epi_n10","scGPT",0.6,1
"1349","GSE132465_CRC_Epi_n25","scGPT",0.8,1
"1350","GSE132465_CRC_Epi_n25","scGPT",0.8,1
"1351","GSE132465_CRC_Epi_n100","scGPT",0.77,0.98
"1352","GSE132465_CRC_Epi_n100","scGPT",0.77,0.98
"1353","GSE155698_PDAC_Epi_n3","scGPT",0.666666667,1
"1354","GSE155698_PDAC_Epi_n3","scGPT",0.666666667,1
"1355","GSE155698_PDAC_Epi_n10","scGPT",0.3,0.9
"1356","GSE155698_PDAC_Epi_n10","scGPT",0.3,1
"1357","GSE155698_PDAC_Epi_n25","scGPT",0.36,1
"1358","GSE155698_PDAC_Epi_n25","scGPT",0.36,0.96
"1359","GSE155698_PDAC_Epi_n100","scGPT",0.47,0.99
"1360","GSE155698_PDAC_Epi_n100","scGPT",0.47,0.97
"1361","GSE162025_NPC_Epi_n3","scGPT",1,1
"1362","GSE162025_NPC_Epi_n3","scGPT",1,1
"1363","GSE162025_NPC_Epi_n10","scGPT",0.7,1
"1364","GSE162025_NPC_Epi_n10","scGPT",0.7,1
"1365","GSE162025_NPC_Epi_n25","scGPT",0.76,1
"1366","GSE162025_NPC_Epi_n25","scGPT",0.76,1
"1367","GSE162025_NPC_Epi_n100","scGPT",0.7,0.99
"1368","GSE162025_NPC_Epi_n100","scGPT",0.7,0.99
"1369","GSE168652_Cervix_Epi_n3","scGPT",1,1
"1370","GSE168652_Cervix_Epi_n3","scGPT",1,1
"1371","GSE168652_Cervix_Epi_n10","scGPT",1,0.9
"1372","GSE168652_Cervix_Epi_n10","scGPT",1,1
"1373","GSE168652_Cervix_Epi_n25","scGPT",0.96,1
"1374","GSE168652_Cervix_Epi_n25","scGPT",0.96,1
"1375","GSE168652_Cervix_Epi_n100","scGPT",0.99,1
"1376","GSE168652_Cervix_Epi_n100","scGPT",0.99,1
"1377","GSE173682_Endome_Epi_n3","scGPT",0,1
"1378","GSE173682_Endome_Epi_n3","scGPT",0,1
"1379","GSE173682_Endome_Epi_n10","scGPT",0.2,1
"1380","GSE173682_Endome_Epi_n10","scGPT",0.2,1
"1381","GSE173682_Endome_Epi_n25","scGPT",0.04,1
"1382","GSE173682_Endome_Epi_n25","scGPT",0.04,1
"1383","GSE173682_Endome_Epi_n100","scGPT",0.05,1
"1384","GSE173682_Endome_Epi_n100","scGPT",0.05,1
"1385","GSE173682_Ovarian_Epi_n3","scGPT",0,1
"1386","GSE173682_Ovarian_Epi_n3","scGPT",0,1
"1387","GSE173682_Ovarian_Epi_n10","scGPT",0,1
"1388","GSE173682_Ovarian_Epi_n10","scGPT",0,1
"1389","GSE173682_Ovarian_Epi_n25","scGPT",0.12,1
"1390","GSE173682_Ovarian_Epi_n25","scGPT",0.12,1
"1391","GSE173682_Ovarian_Epi_n100","scGPT",0.04,0.99
"1392","GSE173682_Ovarian_Epi_n100","scGPT",0.04,0.99
"1393","GSE176078_BC_Epi_n3","scGPT",1,1
"1394","GSE176078_BC_Epi_n3","scGPT",1,1
"1395","GSE176078_BC_Epi_n10","scGPT",0.9,1
"1396","GSE176078_BC_Epi_n10","scGPT",0.9,1
"1397","GSE176078_BC_Epi_n25","scGPT",0.96,1
"1398","GSE176078_BC_Epi_n25","scGPT",0.96,0.92
"1399","GSE176078_BC_Epi_n100","scGPT",0.97,0.98
"1400","GSE176078_BC_Epi_n100","scGPT",0.97,0.98
"1401","GSE178318_CRC_Epi_n3","scGPT",0,1
"1402","GSE178318_CRC_Epi_n3","scGPT",0,1
"1403","GSE178318_CRC_Epi_n10","scGPT",0.1,0.8
"1404","GSE178318_CRC_Epi_n10","scGPT",0.1,1
"1405","GSE178318_CRC_Epi_n25","scGPT",0.08,1
"1406","GSE178318_CRC_Epi_n25","scGPT",0.08,0.96
"1407","GSE178318_CRC_Epi_n100","scGPT",0.32,0.96
"1408","GSE178318_CRC_Epi_n100","scGPT",0.32,0.99
"1409","GSE193337_Prostate_Epi_n3","scGPT",1,1
"1410","GSE193337_Prostate_Epi_n3","scGPT",1,1
"1411","GSE193337_Prostate_Epi_n10","scGPT",1,1
"1412","GSE193337_Prostate_Epi_n10","scGPT",1,0.9
"1413","GSE193337_Prostate_Epi_n25","scGPT",0.96,0.96
"1414","GSE193337_Prostate_Epi_n25","scGPT",0.96,1
"1415","GSE193337_Prostate_Epi_n100","scGPT",0.96,1
"1416","GSE193337_Prostate_Epi_n100","scGPT",0.96,0.99
"1417","OMIX001073_GC_Epi_n3","scGPT",0.333333333,1
"1418","OMIX001073_GC_Epi_n3","scGPT",0.333333333,1
"1419","OMIX001073_GC_Epi_n10","scGPT",0.2,1
"1420","OMIX001073_GC_Epi_n10","scGPT",0.2,1
"1421","OMIX001073_GC_Epi_n25","scGPT",0.52,1
"1422","OMIX001073_GC_Epi_n25","scGPT",0.52,1
"1423","OMIX001073_GC_Epi_n100","scGPT",0.47,0.99
"1424","OMIX001073_GC_Epi_n100","scGPT",0.47,0.99
"1425","GSE148071_LUNG_Epi_n3","scGPT",0,1
"1426","GSE148071_LUNG_Epi_n3","scGPT",0,1
"1427","GSE148071_LUNG_Epi_n10","scGPT",0,1
"1428","GSE148071_LUNG_Epi_n10","scGPT",0,1
"1429","GSE148071_LUNG_Epi_n25","scGPT",0,1
"1430","GSE148071_LUNG_Epi_n25","scGPT",0,1
"1431","GSE148071_LUNG_Epi_n100","scGPT",0,0.99
"1432","GSE148071_LUNG_Epi_n100","scGPT",0,1
"1433","GSE150430_NPC_Epi_n3","scGPT",1,1
"1434","GSE150430_NPC_Epi_n3","scGPT",1,1
"1435","GSE150430_NPC_Epi_n10","scGPT",0.4,1
"1436","GSE150430_NPC_Epi_n10","scGPT",0.4,1
"1437","GSE150430_NPC_Epi_n25","scGPT",0.44,1
"1438","GSE150430_NPC_Epi_n25","scGPT",0.44,1
"1439","GSE150430_NPC_Epi_n100","scGPT",0.53,1
"1440","GSE150430_NPC_Epi_n100","scGPT",0.53,1
"1441","GSE150825_NPC_Epi_n3","scGPT",0,1
"1442","GSE150825_NPC_Epi_n3","scGPT",0,1
"1443","GSE150825_NPC_Epi_n10","scGPT",0.5,0.9
"1444","GSE150825_NPC_Epi_n10","scGPT",0.5,0.9
"1445","GSE150825_NPC_Epi_n25","scGPT",0.28,0.84
"1446","GSE150825_NPC_Epi_n25","scGPT",0.28,0.96
"1447","GSE150825_NPC_Epi_n100","scGPT",0.28,0.91
"1448","GSE150825_NPC_Epi_n100","scGPT",0.28,0.93
"1449","GSE176031_Prostate_Epi_n3","scGPT",1,0.666666667
"1450","GSE176031_Prostate_Epi_n3","scGPT",1,1
"1451","GSE176031_Prostate_Epi_n10","scGPT",1,1
"1452","GSE176031_Prostate_Epi_n10","scGPT",1,1
"1453","GSE176031_Prostate_Epi_n25","scGPT",1,1
"1454","GSE176031_Prostate_Epi_n25","scGPT",1,1
"1455","GSE176031_Prostate_Epi_n100","scGPT",1,0.99
"1456","GSE176031_Prostate_Epi_n100","scGPT",1,1
"1457","GSE149614_HCC_Epi_n3","scGPT",1,1
"1458","GSE149614_HCC_Epi_n3","scGPT",1,1
"1459","GSE149614_HCC_Epi_n10","scGPT",1,1
"1460","GSE149614_HCC_Epi_n10","scGPT",1,1
"1461","GSE149614_HCC_Epi_n25","scGPT",1,1
"1462","GSE149614_HCC_Epi_n25","scGPT",1,1
"1463","GSE149614_HCC_Epi_n100","scGPT",1,1
